source,input,output(s),,,,,,,,,,
"OpenOrca100k Question, random sampling","Select from the following.
 (1). Yes
 (2). No
Given those answer options, answer the question: Title: Fast download to PC Review: This reader really shines with a fast card. I was able to transfer files from a full 1GB card (Lexar 80X) in 1 minute and 43 seconds.The only issue I have with the reader is that it gets warm, much warmer than my older Sandisk USB reader. Even with no card attached, it's warm. I've made it a routine to remove the card as soon as the download is finished. Is this product review negative?
A:","Select from the following.
 (1). Yes
 (2). No
Given those answer options, answer the question:
","Title: Fast download to PC
","Review: This reader really shines with a fast card. I was able to transfer files from a full 1GB card (Lexar 80X) in 1 minute and 43 seconds.
","The only issue I have with the reader is that it gets warm, much warmer than my older Sandisk USB reader. Even with no card attached, it's warm. I've made it a routine to remove the card as soon as the download is finished.
","Is this product review negative?
A:
",,,,,,
"OpenOrca100k Question, random sampling","Generate a context and a hypothesis.
","Generate a context and a hypothesis.
",,,,,,,,,,
"OpenOrca100k Question, random sampling","Answer the following question:

who got pregnant in gossip girl season 5?",Answer the following question:,who got pregnant in gossip girl season 5?,,,,,,,,,
"OpenOrca100k Question, random sampling","Dylan Tombides was diagnosed with testicular cancer in 2011. He fought the disease for three years having surgery and chemotherapy. The Australian footballer died today with his family at his bedside. Back to Mail Online home. Back to the page you came from.

Write an article based on these highlights.",Dylan Tombides was diagnosed with testicular cancer in 2011. He fought the disease for three years having surgery and chemotherapy.,The Australian footballer died today with his family at his bedside.,Back to Mail Online home. Back to the page you came from.,Write an article based on these highlights.,,,,,,,
"OpenOrca100k Question, random sampling","Please answer the following question about this movie plot. If it's un-answerable, please output ""No answer"".  Question: Who followed the boys? Movie plot title: Red Movie plot: Ajith is Red (it stands for Revolution, Education, Development), an orphan who has since grown up to be the local don in Madurai. Naturally he possesses a heart of gold and when not bashing up bad guys, he spends his time forcing schools to accept students without donations and taking care of orphans. Cheeni (Salim Ghouse) is his biggest enemy. Red falls for Gayatri (Priya Gill), the daughter of his friend and confidante Narayanan (Manivannan) and helps her without her knowledge. She too likes him but wants him to give up his life of violence. Meanwhile, a reporter (Rajesh) for Ananda Vikatan begins to serialise Red's story under the name Aadi and it becomes quite the rage among readers.
A:","Please answer the following question about this movie plot. If it's un-answerable, please output ""No answer"".
","Question: Who followed the boys?
","Movie plot title: Red Movie
","plot: Ajith is Red (it stands for Revolution, Education, Development), an orphan who has since grown up to be the local don in Madurai. Naturally he possesses a heart of gold and when not bashing up bad guys, he spends his time forcing schools to accept students without donations and taking care of orphans. Cheeni (Salim Ghouse) is his biggest enemy.
","Red falls for Gayatri (Priya Gill), the daughter of his friend and confidante Narayanan (Manivannan) and helps her without her knowledge. She too likes him but wants him to give up his life of violence.
","Meanwhile, a reporter (Rajesh) for Ananda Vikatan begins to serialise Red's story under the name Aadi and it becomes quite the rage among readers.",A:,,,,
"OpenOrca100k Question, random sampling","Is this product review positive? Title: Weber Smokey Mountain Cooker/Smoker Review: I have been cooking on a trailer mounted commercial style smoker for several years. I wanted something smaller and easier to use for my patio. This smoker works great and is simple to operate. I have used regular charcoal, lump charcoal and hickory/oak wood. Burns fine, litte mess and clean-up is a breeze. I especially like the 3 adjustable air vents on the bottom and the 1 located on the dome. I have smoked hams, turkey's, beef brisket, chicken and Boston butts. I am proud to say that everything tasted great. Answer:
Answer:","Is this product review positive?
",Title: Weber Smokey Mountain Cooker/Smoker,"Review: I have been cooking on a trailer mounted commercial style smoker for several years. I wanted something smaller and easier to use for my patio. This smoker works great and is simple to operate. I have used regular charcoal, lump charcoal and hickory/oak wood. Burns fine, litte mess and clean-up is a breeze. I especially like the 3 adjustable air vents on the bottom and the 1 located on the dome. I have smoked hams, turkey's, beef brisket, chicken and Boston butts. I am proud to say that everything tasted great.","Answer:
Answer:
",,,,,,,
"OpenOrca100k Question, random sampling","Generate a question that has the following answer:  Van Gein  for the following movie plot:  At the Kibbutz Stein in Israel in 1956, school teacher Rachel (Clarice van Houten) is reunited with Ronnie (Halina Reijn), a friend from The Hague during World War II. After Ronnie leaves, Rachel reflects on her adventures during the final days of the war.In 1944, Rachel hides from the Nazis in a farm in the Dutch countryside. In exchange for hiding her, they expect her to learn Bible verses. One day, a crippled Allied bomber drops its payload on the farmhouse, killing everyone except Rachel. Rob (Michiel Heisman), a young man from a neighboring farm, hides her in the family's greenhouse. That night, Van Gein (Peter Blok), a police officer, arrives to tell them that the Nazis know that Rachel is in the area and will hunt her down. He agrees to help Rachel and Rob escape to the Allied controlled southern part of Holland. Rachel visits her father's lawyer, Smaal (Dolf de Vries). He gives her enough money and jewels to live on for a year but warns her not to trust people so easily. Van Gein leads Rachel and Rob to a dock where other Jews wait to leave. Rachel is reunited with her parents and brother, who is recovering from an emergency appendectomy. Van Gein does not accompany the Jews on the boat trip. That evening, the boat is ambushed by a Nazi patrol boat. The Nazis immediately open fire; only Rachel survives the massacre. Before drifting down the river, she sees the Nazis loot the corpses.Rachel is found by Resistance fighters who smuggle her into The Hague by disguising her as a typhoid victim and placing her in a coffin that if properly ""sealed"" has sizable air holes. She is taken to a soup kitchen run by another member of the Resistance, Gerben Kuipers (Derek de Lint) and given the new name of Ellis de Vries. Eventually she is made a part of the Resistance's plans to smuggle in British guns and rations. The smugglers are led by Hans Akkermans (Thom Hoffman), an expert marksman. He and Ellis are to pose as husband and wife so the Nazis will not search their luggage on the train; the luggage is actually...","Generate a question that has the following answer:  Van Gein
","for the following movie plot:  At the Kibbutz Stein in Israel in 1956, school teacher Rachel (Clarice van Houten) is reunited with Ronnie (Halina Reijn), a friend from The Hague during World War II. After Ronnie leaves, Rachel reflects on her adventures during the final days of the war.In 1944, Rachel hides from the Nazis in a farm in the Dutch countryside. In exchange for hiding her, they expect her to learn Bible verses.
","One day, a crippled Allied bomber drops its payload on the farmhouse, killing everyone except Rachel. Rob (Michiel Heisman), a young man from a neighboring farm, hides her in the family's greenhouse. That night, Van Gein (Peter Blok), a police officer, arrives to tell them that the Nazis know that Rachel is in the area and will hunt her down. He agrees to help Rachel and Rob escape to the Allied controlled southern part of Holland.","Rachel visits her father's lawyer, Smaal (Dolf de Vries). He gives her enough money and jewels to live on for a year but warns her not to trust people so easily. Van Gein leads Rachel and Rob to a dock where other Jews wait to leave. Rachel is reunited with her parents and brother, who is recovering from an emergency appendectomy. Van Gein does not accompany the Jews on the boat trip. ","That evening, the boat is ambushed by a Nazi patrol boat. The Nazis immediately open fire; only Rachel survives the massacre. Before drifting down the river, she sees the Nazis loot the corpses.","Rachel is found by Resistance fighters who smuggle her into The Hague by disguising her as a typhoid victim and placing her in a coffin that if properly ""sealed"" has sizable air holes.","She is taken to a soup kitchen run by another member of the Resistance, Gerben Kuipers (Derek de Lint) and given the new name of Ellis de Vries. Eventually she is made a part of the Resistance's plans to smuggle in British guns and rations. The smugglers are led by Hans Akkermans (Thom Hoffman), an expert marksman. He and Ellis are to pose as husband and wife so the Nazis will not search their luggage on the train; the luggage is actually...",,,,
"OpenOrca100k Question, random sampling","Translate the following.

English: The difference is that Denis has to make all the decisions alone. “While Anne became a different person, because of the effects of HD, I also had to learn to become a different person.

Spanish:",Translate the following.,"English: The difference is that Denis has to make all the decisions alone. “While Anne became a different person, because of the effects of HD, I also had to learn to become a different person.",Spanish:,,,,,,,,
"OpenOrca100k Question, random sampling","Q: Question: what is david from the bible diet? Would ""David is central to Jewish , Christian , and Islamic doctrine and culture."" be a reasonable answer?
The answer is:",Q: Question: what is david from the bible diet?,"Would ""David is central to Jewish , Christian , and Islamic doctrine and culture."" be a reasonable answer?",The answer is:,,,,,,,,
"OpenOrca100k Question, random sampling","Teacher:In this task you will be given a string of characters. You should remove all vowels from the given string. Vowels are: i,e,a,u,o. The character 'y' or 'Y' does not count as a vowel.
Teacher: Now, understand the problem? Solve this instance: aetUb
Student:","Teacher:In this task you will be given a string of characters. You should remove all vowels from the given string. Vowels are: i,e,a,u,o. The character 'y' or 'Y' does not count as a vowel.","Teacher: Now, understand the problem? Solve this instance:",Student:,,,,,,,,
"OpenOrca100k Question, random sampling","1. Upper Austria is a municipality in the Wernstein am Inn district in the Austrian province of Schärding .
2. Wernstein am Inn is a municipality in the district of Schärding in the Austrian federal state of Upper Austria .

Are these two sentences paraphrases of each other?
","1. Upper Austria is a municipality in the Wernstein am Inn district in the Austrian province of Schärding .
2. Wernstein am Inn is a municipality in the district of Schärding in the Austrian federal state of Upper Austria .
","Are these two sentences paraphrases of each other?
",,,,,,,,,
"OpenOrca100k Question, random sampling","A row broke out after Cage described Mohamed Emwazi, known as Islamic State extremist Jihadi John, as an ""extremely kind"" and ""beautiful young man"".
Cage claimed the commission should not have sought to block its funding.
The High Court case judge called for proper discussions in future to avoid wasting taxpayer and charity money.
The case was brought by Cage and the Joseph Rowntree Charitable Trust.
Cage's research director Asim Qureshi claimed in February that former London student Emwazi - identified as the man in a number of Islamic State beheading videos - had been driven to extremism after UK security services harassed him.
Cage later said it had made ""mistakes"" in its comments about Emwazi, a former client.
The Charity Commission had urged the Joseph Rowntree Trust and the Roddick Foundation not to make any future donations to Cage, which offers support to Muslims suspected of terrorism offences.
Cage and the trust told the High Court the commission had issued a direction it had no power to make, as well as unlawfully fettering the trust's discretion over whether or not to fund Cage should circumstances change.
The commission, which disputed the accusation, said it had been acting within its powers to give advice and seek assurances from the charities that they would not offer future funding to Cage.
The case was settled after a day-long hearing with all sides agreeing that Joseph Rowntree's trustees ""must be free to exercise their powers and duties in the light of circumstances existing at the time"".
And the commission stated it was not seeking to fetter the charity's discretion to fund Cage ""for all time regardless of changing circumstances"".
The case was heard by Lord Thomas - the Lord Chief Justice - and Mr Justice Ouseley.
What is a summary of this text?
","A row broke out after Cage described Mohamed Emwazi, known as Islamic State extremist Jihadi John, as an ""extremely kind"" and ""beautiful young man"".","Cage claimed the commission should not have sought to block its funding.
The High Court case judge called for proper discussions in future to avoid wasting taxpayer and charity money.
The case was brought by Cage and the Joseph Rowntree Charitable Trust.","Cage's research director Asim Qureshi claimed in February that former London student Emwazi - identified as the man in a number of Islamic State beheading videos - had been driven to extremism after UK security services harassed him.
Cage later said it had made ""mistakes"" in its comments about Emwazi, a former client.
","The Charity Commission had urged the Joseph Rowntree Trust and the Roddick Foundation not to make any future donations to Cage, which offers support to Muslims suspected of terrorism offences.
","Cage and the trust told the High Court the commission had issued a direction it had no power to make, as well as unlawfully fettering the trust's discretion over whether or not to fund Cage should circumstances change.
The commission, which disputed the accusation, said it had been acting within its powers to give advice and seek assurances from the charities that they would not offer future funding to Cage.
","The case was settled after a day-long hearing with all sides agreeing that Joseph Rowntree's trustees ""must be free to exercise their powers and duties in the light of circumstances existing at the time"".
And the commission stated it was not seeking to fetter the charity's discretion to fund Cage ""for all time regardless of changing circumstances"".
The case was heard by Lord Thomas - the Lord Chief Justice - and Mr Justice Ouseley.
","What is a summary of this text?
",,,,
"OpenOrca100k Question, random sampling","Generate a short movie review that has ""I."" sentiment (Possible answers:
I. negative.
II. positive.).
","Generate a short movie review that has ""I."" sentiment (Possible answers:
I. negative.
II. positive.).",,,,,,,,,,
"OpenOrca100k Question, random sampling","Please answer the following question: Formulate an answer to this elaborate question: Are Meet the Deedles and Cinderella both Disney films?
Answer:
",Please answer the following question:,Formulate an answer to this elaborate question:,"Are Meet the Deedles and Cinderella both Disney films?
","Answer:
",,,,,,,
"OpenOrca100k Question, random sampling","In this task, you are given one English sentence. The major part of the sentences talk about health-related topics, but some of the them describe an organization and its activities. Your job is to translate the given sentences into Swedish.

Keeping links with partners in public health training may facilitate consistency with the public health training framework.
","In this task, you are given one English sentence.","The major part of the sentences talk about health-related topics, but some of the them describe an organization and its activities.
",Your job is to translate the given sentences into Swedish.,Keeping links with partners in public health training may facilitate consistency with the public health training framework.,,,,,,,
"OpenOrca100k Question, random sampling","Please answer the following question: Malone is a village in Franklin County New York in the United States. Its population was 5911 at the 2010 census. The village is located in the center of the town of Malone. Malone is the county seat of Franklin County and is home to a campus of North Country Community College. Given a list of categories: company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, what category does the paragraph belong to?
A:
",Please answer the following question:,"Malone is a village in Franklin County New York in the United States. Its population was 5911 at the 2010 census. The village is located in the center of the town of Malone. Malone is the county seat of Franklin County and is home to a campus of North Country Community College.
","Given a list of categories: company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, what category does the paragraph belong to?
A:
",,,,,,,,
"OpenOrca100k Question, random sampling","When they acted as if she had n't been burnt to ashes in the bowls of the rocket . These people had been her friends . If not her friends , at least her coworkers , people she had seen every day and had been on friendly terms with . Shera tried to get along with everyone .

Choose your answer from:
 1). They do n't want to deal with it .
 2). They did n't like her .
 3). They know she did n't really burn .
 4). They have n't let it sink in yet .
Answer the following question: What may be the reason why they ignored what happened ?
","When they acted as if she had n't been burnt to ashes in the bowls of the rocket . These people had been her friends . If not her friends , at least her coworkers , people she had seen every day and had been on friendly terms with .",Shera tried to get along with everyone .,"Choose your answer from:
 1). They do n't want to deal with it .
 2). They did n't like her .
 3). They know she did n't really burn .
 4). They have n't let it sink in yet .
Answer the following question: What may be the reason why they ignored what happened ?",,,,,,,,
"OpenOrca100k Question, random sampling","Write an article based on this ""Saido Berahino was put ""on the naughty chair"" by his West Brom manager Tony Pulis after the striker said that ""he hoped to move on to bigger things"".""
","Write an article based on this
","""Saido Berahino was put ""on the naughty chair"" by his West Brom manager Tony Pulis after the striker said that ""he hoped to move on to bigger things"".""",,,,,,,,,
"OpenOrca100k Question, random sampling","Instructions: In this task, you will be presented with a text and a pronoun. You should write the name that the pronoun refers to. Position of the pronoun in the text is showed within two ""_""s.
Input: Dudley's son, John H. Dean, also played football for Harvard and was captain of the 1933 team. Dudley became friends with Joseph P. Kennedy as the two men spent summers together in Cohasset, Massachusetts. In 1922, Dudley led an unsuccessful campaign to have Kennedy admitted to the Cohasset Golf Club, and several of _his_ letters lobbying for Kennedy's admission were published in the book, The Fitzgeralds and the Kennedys, by Doris Kearns Goodwin. <sep>, Pronoun: his
Output:
","Instructions: In this task, you will be presented with a text and a pronoun. You should write the name that the pronoun refers to. Position of the pronoun in the text is showed within two ""_""s.","Input: Dudley's son, John H. Dean, also played football for Harvard and was captain of the 1933 team. Dudley became friends with Joseph P. Kennedy as the two men spent summers together in Cohasset, Massachusetts. In 1922, Dudley led an unsuccessful campaign to have Kennedy admitted to the Cohasset Golf Club, and several of _his_ letters lobbying for Kennedy's admission were published in the book, The Fitzgeralds and the Kennedys, by Doris Kearns Goodwin. <sep>, Pronoun: his",Output:,,,,,,,,
"OpenOrca100k Question, random sampling","Student: Given the sentence ""A man in a red shirt holds a beer can and hammers while a man in a white shirt looks on."" is it true that ""The man has a beer can.""?.
Teacher: Let's think:","Student: Given the sentence ""A man in a red shirt holds a beer can and hammers while a man in a white shirt looks on."" is it true that ""The man has a beer can.""?.
",Teacher: Let's think:,,,,,,,,,
"OpenOrca100k Response, random sampling","For example, they published ""On the summability of Fourier series,"" two papers: ""On a theorem of Hahn-Steinhaus"" and ""On a theorem of Paley and Wiener,"" as well as ""On the theory of linear integral equations.""
","For example, they published ""On the summability of Fourier series,"" two papers: ""On a theorem of Hahn-Steinhaus"" and ""On a theorem of Paley and Wiener,"" as well as ""On the theory of linear integral equations.""",,,,,,,,,,
